,ticker,adjclose
2004-06-24,2318.HK,3.809269428253174
2004-06-25,2318.HK,3.809269428253174
2004-06-28,2318.HK,3.901280164718628
2004-06-29,2318.HK,3.901280164718628
2004-06-30,2318.HK,3.8828787803649902
2004-07-01,2318.HK,3.8828787803649902
2004-07-02,2318.HK,3.8460752964019775
2004-07-05,2318.HK,3.8460752964019775
2004-07-06,2318.HK,3.8276712894439697
2004-07-07,2318.HK,3.8276712894439697
2004-07-08,2318.HK,3.809269428253174
2004-07-09,2318.HK,3.809269428253174
2004-07-12,2318.HK,3.809269428253174
2004-07-13,2318.HK,3.790867805480957
2004-07-14,2318.HK,3.6252472400665283
2004-07-15,2318.HK,3.533236026763916
2004-07-16,2318.HK,3.4964306354522705
2004-07-19,2318.HK,3.6620514392852783
2004-07-20,2318.HK,3.606844425201416
2004-07-21,2318.HK,3.6252472400665283
2004-07-22,2318.HK,3.606844425201416
2004-07-23,2318.HK,3.606844425201416
2004-07-26,2318.HK,3.5516371726989746
2004-07-27,2318.HK,3.5516371726989746
2004-07-28,2318.HK,3.533236026763916
2004-07-29,2318.HK,3.5516371726989746
2004-07-30,2318.HK,3.6804537773132324
2004-08-02,2318.HK,3.6804537773132324
2004-08-03,2318.HK,3.7540624141693115
2004-08-04,2318.HK,3.7172584533691406
2004-08-05,2318.HK,3.6620514392852783
2004-08-06,2318.HK,3.6988558769226074
2004-08-09,2318.HK,3.6804537773132324
2004-08-10,2318.HK,3.6988558769226074
2004-08-11,2318.HK,3.6620514392852783
2004-08-12,2318.HK,3.6988558769226074
2004-08-13,2318.HK,3.7172584533691406
2004-08-16,2318.HK,3.7356605529785156
2004-08-17,2318.HK,3.772465229034424
2004-08-18,2318.HK,3.790867805480957
2004-08-19,2318.HK,3.864476442337036
2004-08-20,2318.HK,3.8276712894439697
2004-08-23,2318.HK,3.772465229034424
2004-08-24,2318.HK,3.7172584533691406
2004-08-25,2318.HK,3.6804537773132324
2004-08-26,2318.HK,3.7172584533691406
2004-08-27,2318.HK,3.6988558769226074
2004-08-30,2318.HK,3.7356605529785156
2004-08-31,2318.HK,3.7540624141693115
2004-09-01,2318.HK,3.7356605529785156
2004-09-02,2318.HK,3.8276712894439697
2004-09-03,2318.HK,3.864476442337036
2004-09-06,2318.HK,3.8276712894439697
2004-09-07,2318.HK,4.048497676849365
2004-09-08,2318.HK,4.103705883026123
2004-09-09,2318.HK,4.048497676849365
2004-09-10,2318.HK,4.011695384979248
2004-09-13,2318.HK,4.030096530914307
2004-09-14,2318.HK,4.103705883026123
2004-09-15,2318.HK,4.085303783416748
2004-09-16,2318.HK,4.2509236335754395
2004-09-17,2318.HK,4.324533462524414
2004-09-20,2318.HK,4.324533462524414
2004-09-21,2318.HK,4.324533462524414
2004-09-22,2318.HK,4.214120388031006
2004-09-23,2318.HK,4.269327163696289
2004-09-24,2318.HK,4.177316188812256
2004-09-27,2318.HK,4.1957173347473145
2004-09-28,2318.HK,4.1221089363098145
2004-09-29,2318.HK,4.1221089363098145
2004-09-30,2318.HK,4.214120388031006
2004-10-01,2318.HK,4.214120388031006
2004-10-04,2318.HK,4.306131362915039
2004-10-05,2318.HK,4.342935085296631
2004-10-06,2318.HK,4.4349470138549805
2004-10-07,2318.HK,4.4165449142456055
2004-10-08,2318.HK,4.4165449142456055
2004-10-11,2318.HK,4.4349470138549805
2004-10-12,2318.HK,4.3981428146362305
2004-10-13,2318.HK,4.453350067138672
2004-10-14,2318.HK,4.3981428146362305
2004-10-15,2318.HK,4.674177646636963
2004-10-18,2318.HK,4.453350067138672
2004-10-19,2318.HK,4.4165449142456055
2004-10-20,2318.HK,4.342935085296631
2004-10-21,2318.HK,4.2509236335754395
2004-10-22,2318.HK,4.2509236335754395
2004-10-25,2318.HK,4.1957173347473145
2004-10-26,2318.HK,4.2509236335754395
2004-10-27,2318.HK,4.2509236335754395
2004-10-28,2318.HK,4.306131362915039
2004-10-29,2318.HK,4.508556842803955
2004-11-01,2318.HK,4.4349470138549805
2004-11-02,2318.HK,4.3981428146362305
2004-11-03,2318.HK,4.3981428146362305
2004-11-04,2318.HK,4.3981428146362305
2004-11-05,2318.HK,4.453350067138672
2004-11-08,2318.HK,4.5637640953063965
2004-11-09,2318.HK,4.637373447418213
2004-11-10,2318.HK,4.7845892906188965
2004-11-11,2318.HK,4.692577838897705
2004-11-12,2318.HK,4.858199119567871
2004-11-15,2318.HK,4.931808948516846
2004-11-16,2318.HK,4.913405895233154
2004-11-17,2318.HK,4.876601219177246
2004-11-18,2318.HK,4.821394920349121
2004-11-19,2318.HK,4.821394920349121
2004-11-22,2318.HK,4.766188621520996
2004-11-23,2318.HK,4.876601219177246
2004-11-24,2318.HK,4.876601219177246
2004-11-25,2318.HK,4.895002841949463
2004-11-26,2318.HK,4.968611717224121
2004-11-29,2318.HK,5.0422210693359375
2004-11-30,2318.HK,5.079026222229004
2004-12-01,2318.HK,5.0422210693359375
2004-12-02,2318.HK,5.0422210693359375
2004-12-03,2318.HK,5.060625076293945
2004-12-06,2318.HK,5.023819923400879
2004-12-07,2318.HK,4.987016201019287
2004-12-08,2318.HK,4.931808948516846
2004-12-09,2318.HK,4.931808948516846
2004-12-10,2318.HK,4.766188621520996
2004-12-13,2318.HK,4.655773639678955
2004-12-14,2318.HK,4.637373447418213
2004-12-15,2318.HK,4.692577838897705
2004-12-16,2318.HK,4.747785568237305
2004-12-17,2318.HK,4.839797496795654
2004-12-20,2318.HK,4.931808948516846
2004-12-21,2318.HK,4.950211048126221
2004-12-22,2318.HK,4.858199119567871
2004-12-23,2318.HK,4.913405895233154
2004-12-24,2318.HK,4.913405895233154
2004-12-27,2318.HK,4.913405895233154
2004-12-28,2318.HK,4.950211048126221
2004-12-29,2318.HK,4.895002841949463
2004-12-30,2318.HK,4.7845892906188965
2004-12-31,2318.HK,4.931808948516846
2005-01-03,2318.HK,4.839797496795654
2005-01-04,2318.HK,4.7845892906188965
2005-01-05,2318.HK,4.692577838897705
2005-01-06,2318.HK,4.637373447418213
2005-01-07,2318.HK,4.692577838897705
2005-01-10,2318.HK,4.766188621520996
2005-01-11,2318.HK,4.821394920349121
2005-01-12,2318.HK,4.821394920349121
2005-01-13,2318.HK,4.876601219177246
2005-01-14,2318.HK,4.747785568237305
2005-01-17,2318.HK,4.710981369018555
2005-01-18,2318.HK,4.710981369018555
2005-01-19,2318.HK,4.710981369018555
2005-01-20,2318.HK,4.655773639678955
2005-01-21,2318.HK,4.655773639678955
2005-01-24,2318.HK,4.545360565185547
2005-01-25,2318.HK,4.582165241241455
2005-01-26,2318.HK,4.637373447418213
2005-01-27,2318.HK,4.710981369018555
2005-01-28,2318.HK,4.710981369018555
2005-01-31,2318.HK,4.766188621520996
2005-02-01,2318.HK,4.692577838897705
2005-02-02,2318.HK,4.747785568237305
2005-02-03,2318.HK,4.692577838897705
2005-02-04,2318.HK,4.729383945465088
2005-02-07,2318.HK,4.766188621520996
2005-02-08,2318.HK,4.876601219177246
2005-02-14,2318.HK,4.895002841949463
2005-02-15,2318.HK,4.895002841949463
2005-02-16,2318.HK,4.839797496795654
2005-02-17,2318.HK,4.729383945465088
2005-02-18,2318.HK,4.8029937744140625
2005-02-21,2318.HK,4.839797496795654
2005-02-22,2318.HK,4.8029937744140625
2005-02-23,2318.HK,4.692577838897705
2005-02-24,2318.HK,4.710981369018555
2005-02-25,2318.HK,4.729383945465088
2005-02-28,2318.HK,4.821394920349121
2005-03-01,2318.HK,4.839797496795654
2005-03-02,2318.HK,4.8029937744140625
2005-03-03,2318.HK,4.8029937744140625
2005-03-04,2318.HK,4.821394920349121
2005-03-07,2318.HK,4.8029937744140625
2005-03-08,2318.HK,4.8029937744140625
2005-03-09,2318.HK,4.8029937744140625
2005-03-10,2318.HK,4.766188621520996
2005-03-11,2318.HK,4.747785568237305
2005-03-14,2318.HK,4.729383945465088
2005-03-15,2318.HK,4.692577838897705
2005-03-16,2318.HK,4.692577838897705
2005-03-17,2318.HK,4.692577838897705
2005-03-18,2318.HK,4.692577838897705
2005-03-21,2318.HK,4.692577838897705
2005-03-22,2318.HK,4.637373447418213
2005-03-23,2318.HK,4.582165241241455
2005-03-24,2318.HK,4.5637640953063965
2005-03-29,2318.HK,4.526958465576172
2005-03-30,2318.HK,4.545360565185547
2005-03-31,2318.HK,4.526958465576172
2005-04-01,2318.HK,4.5637640953063965
2005-04-04,2318.HK,4.526958465576172
2005-04-06,2318.HK,4.545360565185547
2005-04-07,2318.HK,4.526958465576172
2005-04-08,2318.HK,4.545360565185547
2005-04-11,2318.HK,4.5637640953063965
2005-04-12,2318.HK,4.526958465576172
2005-04-13,2318.HK,4.5637640953063965
2005-04-14,2318.HK,4.526958465576172
2005-04-15,2318.HK,4.471750736236572
2005-04-18,2318.HK,4.324533462524414
2005-04-19,2318.HK,4.4165449142456055
2005-04-20,2318.HK,4.4165449142456055
2005-04-21,2318.HK,4.379740238189697
2005-04-22,2318.HK,4.471750736236572
2005-04-25,2318.HK,4.471750736236572
2005-04-26,2318.HK,4.490153789520264
2005-04-27,2318.HK,4.4165449142456055
2005-04-28,2318.HK,4.4165449142456055
2005-04-29,2318.HK,4.379740238189697
2005-05-03,2318.HK,4.324533462524414
2005-05-04,2318.HK,4.3981428146362305
2005-05-05,2318.HK,4.471750736236572
2005-05-06,2318.HK,4.453350067138672
2005-05-09,2318.HK,4.692577838897705
2005-05-10,2318.HK,4.637373447418213
2005-05-11,2318.HK,4.637373447418213
2005-05-12,2318.HK,4.710981369018555
2005-05-13,2318.HK,4.637373447418213
2005-05-17,2318.HK,4.490153789520264
2005-05-18,2318.HK,4.526958465576172
2005-05-19,2318.HK,4.5637640953063965
2005-05-20,2318.HK,4.615877628326416
2005-05-23,2318.HK,4.48559045791626
2005-05-24,2318.HK,4.504204273223877
2005-05-25,2318.HK,4.522815227508545
2005-05-26,2318.HK,4.466977119445801
2005-05-27,2318.HK,4.541428089141846
2005-05-30,2318.HK,4.597264766693115
2005-05-31,2318.HK,4.522815227508545
2005-06-01,2318.HK,4.615877628326416
2005-06-02,2318.HK,4.541428089141846
2005-06-03,2318.HK,4.504204273223877
2005-06-06,2318.HK,4.541428089141846
2005-06-07,2318.HK,4.56003999710083
2005-06-08,2318.HK,4.541428089141846
2005-06-09,2318.HK,4.522815227508545
2005-06-10,2318.HK,4.522815227508545
2005-06-13,2318.HK,4.5786519050598145
2005-06-14,2318.HK,4.541428089141846
2005-06-15,2318.HK,4.56003999710083
2005-06-16,2318.HK,4.5786519050598145
2005-06-17,2318.HK,4.597264766693115
2005-06-20,2318.HK,4.597264766693115
2005-06-21,2318.HK,4.671715259552002
2005-06-22,2318.HK,4.6903276443481445
2005-06-23,2318.HK,4.6903276443481445
2005-06-24,2318.HK,4.597264766693115
2005-06-27,2318.HK,4.653102397918701
2005-06-28,2318.HK,4.671715259552002
2005-06-29,2318.HK,4.671715259552002
2005-06-30,2318.HK,4.6344895362854
2005-07-04,2318.HK,4.6903276443481445
2005-07-05,2318.HK,4.615877628326416
2005-07-06,2318.HK,4.6344895362854
2005-07-07,2318.HK,4.597264766693115
2005-07-08,2318.HK,4.541428089141846
2005-07-11,2318.HK,4.615877628326416
2005-07-12,2318.HK,4.56003999710083
2005-07-13,2318.HK,4.5786519050598145
2005-07-14,2318.HK,4.5786519050598145
2005-07-15,2318.HK,4.7089385986328125
2005-07-18,2318.HK,4.653102397918701
2005-07-19,2318.HK,4.6903276443481445
2005-07-20,2318.HK,4.764776706695557
2005-07-21,2318.HK,4.764776706695557
2005-07-22,2318.HK,4.783388614654541
2005-07-25,2318.HK,4.746163845062256
2005-07-26,2318.HK,4.727551460266113
2005-07-27,2318.HK,4.727551460266113
2005-07-28,2318.HK,4.764776706695557
2005-07-29,2318.HK,4.839226245880127
2005-08-01,2318.HK,4.839226245880127
2005-08-02,2318.HK,4.820614337921143
2005-08-03,2318.HK,4.839226245880127
2005-08-04,2318.HK,4.839226245880127
2005-08-05,2318.HK,4.839226245880127
2005-08-08,2318.HK,4.8950629234313965
2005-08-09,2318.HK,4.87645149230957
2005-08-10,2318.HK,5.006738185882568
2005-08-11,2318.HK,5.025349140167236
2005-08-12,2318.HK,5.0439629554748535
2005-08-15,2318.HK,5.17425012588501
2005-08-16,2318.HK,5.155636787414551
2005-08-17,2318.HK,5.155636787414551
2005-08-18,2318.HK,5.025349140167236
2005-08-19,2318.HK,4.988126277923584
2005-08-22,2318.HK,5.081187725067139
2005-08-23,2318.HK,5.081187725067139
2005-08-24,2318.HK,5.025349140167236
2005-08-25,2318.HK,5.006738185882568
2005-08-26,2318.HK,5.081187725067139
2005-08-29,2318.HK,4.988126277923584
2005-08-30,2318.HK,5.025349140167236
2005-08-31,2318.HK,4.950901508331299
2005-09-01,2318.HK,5.006738185882568
2005-09-02,2318.HK,4.913675785064697
2005-09-05,2318.HK,4.913675785064697
2005-09-06,2318.HK,4.988126277923584
2005-09-07,2318.HK,5.025349140167236
2005-09-08,2318.HK,5.006738185882568
2005-09-09,2318.HK,5.025349140167236
2005-09-12,2318.HK,4.988126277923584
2005-09-13,2318.HK,4.969513416290283
2005-09-14,2318.HK,4.950901508331299
2005-09-15,2318.HK,4.93228816986084
2005-09-16,2318.HK,4.969513416290283
2005-09-20,2318.HK,5.0439629554748535
2005-09-21,2318.HK,5.0439629554748535
2005-09-22,2318.HK,5.0439629554748535
2005-09-23,2318.HK,4.988126277923584
2005-09-26,2318.HK,4.969513416290283
2005-09-27,2318.HK,4.93228816986084
2005-09-28,2318.HK,4.913675785064697
2005-09-29,2318.HK,5.081187725067139
2005-09-30,2318.HK,5.025349140167236
2005-10-03,2318.HK,5.062575340270996
2005-10-04,2318.HK,5.025349140167236
2005-10-05,2318.HK,4.950901508331299
2005-10-06,2318.HK,4.913675785064697
2005-10-07,2318.HK,4.969513416290283
2005-10-10,2318.HK,4.913675785064697
2005-10-12,2318.HK,4.820614337921143
2005-10-13,2318.HK,4.802001953125
2005-10-14,2318.HK,4.820614337921143
2005-10-17,2318.HK,4.783388614654541
2005-10-18,2318.HK,4.802001953125
2005-10-19,2318.HK,4.764776706695557
2005-10-20,2318.HK,4.764776706695557
2005-10-21,2318.HK,4.802001953125
2005-10-24,2318.HK,4.783388614654541
2005-10-25,2318.HK,4.6903276443481445
2005-10-26,2318.HK,4.727551460266113
2005-10-27,2318.HK,4.671715259552002
2005-10-28,2318.HK,4.5786519050598145
2005-10-31,2318.HK,4.615877628326416
2005-11-01,2318.HK,4.6903276443481445
2005-11-02,2318.HK,4.764776706695557
2005-11-03,2318.HK,4.764776706695557
2005-11-04,2318.HK,4.746163845062256
2005-11-07,2318.HK,4.6903276443481445
2005-11-08,2318.HK,4.6903276443481445
2005-11-09,2318.HK,4.727551460266113
2005-11-10,2318.HK,4.764776706695557
2005-11-11,2318.HK,4.802001953125
2005-11-14,2318.HK,4.802001953125
2005-11-15,2318.HK,4.839226245880127
2005-11-16,2318.HK,4.802001953125
2005-11-17,2318.HK,4.839226245880127
2005-11-18,2318.HK,4.93228816986084
2005-11-21,2318.HK,4.969513416290283
2005-11-22,2318.HK,4.988126277923584
2005-11-23,2318.HK,5.025349140167236
2005-11-24,2318.HK,5.025349140167236
2005-11-25,2318.HK,5.025349140167236
2005-11-28,2318.HK,5.0439629554748535
2005-11-29,2318.HK,4.950901508331299
2005-11-30,2318.HK,4.87645149230957
2005-12-01,2318.HK,4.913675785064697
