,ticker,adjclose
2010-10-29,1299.HK,19.68962287902832
2010-11-01,1299.HK,19.826297760009766
2010-11-02,1299.HK,19.305225372314453
2010-11-03,1299.HK,19.34793472290039
2010-11-04,1299.HK,19.56148910522461
2010-11-05,1299.HK,19.68962287902832
2010-11-08,1299.HK,20.244863510131836
2010-11-09,1299.HK,20.287569046020508
2010-11-10,1299.HK,20.159440994262695
2010-11-11,1299.HK,20.885520935058594
2010-11-12,1299.HK,19.98859405517578
2010-11-15,1299.HK,20.031312942504883
2010-11-16,1299.HK,19.98859405517578
2010-11-17,1299.HK,19.476072311401367
2010-11-18,1299.HK,19.903169631958008
2010-11-19,1299.HK,19.86046600341797
2010-11-22,1299.HK,19.604204177856445
2010-11-23,1299.HK,19.433361053466797
2010-11-24,1299.HK,19.39064598083496
2010-11-25,1299.HK,19.34793472290039
2010-11-26,1299.HK,19.262516021728516
2010-11-29,1299.HK,19.305225372314453
2010-11-30,1299.HK,19.177091598510742
2010-12-01,1299.HK,19.56148910522461
2010-12-02,1299.HK,19.433361053466797
2010-12-03,1299.HK,19.305225372314453
2010-12-06,1299.HK,19.177091598510742
2010-12-07,1299.HK,19.177091598510742
2010-12-08,1299.HK,19.219806671142578
2010-12-09,1299.HK,19.134384155273438
2010-12-10,1299.HK,19.006254196166992
2010-12-13,1299.HK,19.048959732055664
2010-12-14,1299.HK,18.87812042236328
2010-12-15,1299.HK,18.87812042236328
2010-12-16,1299.HK,18.707275390625
2010-12-17,1299.HK,19.0916748046875
2010-12-20,1299.HK,18.920827865600586
2010-12-21,1299.HK,18.87812042236328
2010-12-22,1299.HK,18.664566040039062
2010-12-23,1299.HK,18.749984741210938
2010-12-24,1299.HK,18.749984741210938
2010-12-28,1299.HK,18.707275390625
2010-12-29,1299.HK,18.835407257080078
2010-12-30,1299.HK,18.96354103088379
2010-12-31,1299.HK,18.664566040039062
2011-01-03,1299.HK,19.006254196166992
2011-01-04,1299.HK,19.262516021728516
2011-01-05,1299.HK,19.177091598510742
2011-01-06,1299.HK,19.048959732055664
2011-01-07,1299.HK,19.048959732055664
2011-01-10,1299.HK,18.57914924621582
2011-01-11,1299.HK,18.536436080932617
2011-01-12,1299.HK,18.322877883911133
2011-01-13,1299.HK,18.57914924621582
2011-01-14,1299.HK,18.28017234802246
2011-01-17,1299.HK,18.109329223632812
2011-01-18,1299.HK,18.06661605834961
2011-01-19,1299.HK,18.57914924621582
2011-01-20,1299.HK,18.57914924621582
2011-01-21,1299.HK,18.451011657714844
2011-01-24,1299.HK,18.707275390625
2011-01-25,1299.HK,18.621854782104492
