,ticker,adjclose
2014-10-31,ARKK,18.544891357421875
2014-11-03,ARKK,18.544891357421875
2014-11-04,ARKK,18.435697555541992
2014-11-05,ARKK,18.199108123779297
2014-11-06,ARKK,18.326501846313477
2014-11-07,ARKK,18.308303833007812
2014-11-10,ARKK,18.47209358215332
2014-11-11,ARKK,18.462993621826172
2014-11-12,ARKK,18.52669334411621
2014-11-13,ARKK,18.508493423461914
2014-11-14,ARKK,18.5994873046875
2014-11-17,ARKK,18.572189331054688
2014-11-18,ARKK,18.745080947875977
2014-11-19,ARKK,18.462993621826172
2014-11-20,ARKK,18.453893661499023
2014-11-21,ARKK,18.52669334411621
2014-11-24,ARKK,18.64498519897461
2014-11-25,ARKK,18.672285079956055
2014-11-26,ARKK,18.70868492126465
2014-11-28,ARKK,18.735980987548828
2014-12-01,ARKK,18.44479751586914
2014-12-02,ARKK,18.244606018066406
2014-12-03,ARKK,18.281003952026367
2014-12-04,ARKK,18.253705978393555
2014-12-05,ARKK,18.299203872680664
2014-12-08,ARKK,17.953418731689453
2014-12-09,ARKK,17.998920440673828
2014-12-10,ARKK,17.953418731689453
2014-12-11,ARKK,17.989818572998047
2014-12-12,ARKK,17.842405319213867
2014-12-15,ARKK,17.5439395904541
2014-12-16,ARKK,17.243654251098633
2014-12-17,ARKK,17.43474578857422
2014-12-18,ARKK,18.08991241455078
2014-12-19,ARKK,18.344701766967773
2014-12-22,ARKK,18.4993953704834
2014-12-23,ARKK,18.505765914916992
2014-12-24,ARKK,18.53579330444336
2014-12-26,ARKK,18.745080947875977
2014-12-29,ARKK,18.58765983581543
2014-12-30,ARKK,18.47209358215332
2014-12-31,ARKK,18.344701766967773
2015-01-02,ARKK,18.353801727294922
2015-01-05,ARKK,17.911563873291016
2015-01-06,ARKK,17.844228744506836
2015-01-07,ARKK,17.926122665405273
2015-01-08,ARKK,18.326501846313477
2015-01-09,ARKK,18.17180824279785
2015-01-12,ARKK,18.335601806640625
2015-01-13,ARKK,18.19000816345215
2015-01-14,ARKK,18.135414123535156
2015-01-15,ARKK,17.725929260253906
2015-01-16,ARKK,17.844228744506836
2015-01-20,ARKK,18.09901237487793
2015-01-21,ARKK,18.426599502563477
2015-01-22,ARKK,18.679567337036133
2015-01-23,ARKK,18.77237892150879
2015-01-26,ARKK,18.881574630737305
2015-01-27,ARKK,18.5994873046875
2015-01-28,ARKK,18.517593383789062
2015-01-29,ARKK,18.553991317749023
2015-01-30,ARKK,18.417499542236328
2015-02-02,ARKK,18.533061981201172
2015-02-03,ARKK,18.408397674560547
2015-02-04,ARKK,18.61768913269043
2015-02-05,ARKK,18.963470458984375
2015-02-06,ARKK,18.9197940826416
2015-02-09,ARKK,18.816059112548828
2015-02-10,ARKK,18.972570419311523
2015-02-11,ARKK,19.132722854614258
2015-02-12,ARKK,19.2764949798584
2015-02-13,ARKK,19.518543243408203
2015-02-17,ARKK,19.41844940185547
2015-02-18,ARKK,19.445749282836914
2015-02-19,ARKK,19.600439071655273
2015-02-20,ARKK,19.73147201538086
2015-02-23,ARKK,19.545841217041016
2015-02-24,ARKK,19.493066787719727
2015-02-25,ARKK,19.500343322753906
2015-02-26,ARKK,19.691434860229492
2015-02-27,ARKK,19.57314109802246
2015-03-02,ARKK,19.56313133239746
2015-03-03,ARKK,19.41844940185547
2015-03-04,ARKK,19.3083438873291
2015-03-05,ARKK,19.42936897277832
2015-03-06,ARKK,19.078125
2015-03-09,ARKK,18.92707061767578
2015-03-10,ARKK,18.725059509277344
2015-03-11,ARKK,18.804229736328125
2015-03-12,ARKK,18.81787872314453
2015-03-13,ARKK,18.759639739990234
2015-03-16,ARKK,18.92707061767578
2015-03-17,ARKK,18.990772247314453
2015-03-18,ARKK,18.92707061767578
2015-03-19,ARKK,19.20005989074707
2015-03-20,ARKK,19.40934944152832
2015-03-23,ARKK,19.37295150756836
2015-03-24,ARKK,19.37295150756836
