,ticker,adjclose
2020-06-18,9618.HK,228.55201721191406
2020-06-19,9618.HK,228.1613311767578
2020-06-22,9618.HK,222.69171142578125
2020-06-23,9618.HK,224.6451416015625
2020-06-24,9618.HK,229.33338928222656
2020-06-26,9618.HK,228.94268798828125
2020-06-29,9618.HK,224.44979858398438
2020-06-30,9618.HK,226.4032440185547
2020-07-02,9618.HK,230.3101043701172
2020-07-03,9618.HK,230.11476135253906
2020-07-06,9618.HK,239.10057067871094
2020-07-07,9618.HK,236.36575317382812
2020-07-08,9618.HK,241.83538818359375
2020-07-09,9618.HK,259.8069763183594
2020-07-10,9618.HK,254.3373565673828
2020-07-13,9618.HK,249.6491241455078
2020-07-14,9618.HK,236.17041015625
2020-07-15,9618.HK,235.58438110351562
2020-07-16,9618.HK,229.5287322998047
2020-07-17,9618.HK,234.99835205078125
2020-07-20,9618.HK,236.17041015625
2020-07-21,9618.HK,248.28170776367188
2020-07-22,9618.HK,236.56109619140625
2020-07-23,9618.HK,235.97508239746094
2020-07-24,9618.HK,229.33338928222656
2020-07-27,9618.HK,231.28683471679688
2020-07-28,9618.HK,237.733154296875
2020-07-29,9618.HK,234.21697998046875
2020-07-30,9618.HK,235.19369506835938
2020-07-31,9618.HK,235.19369506835938
2020-08-03,9618.HK,241.44468688964844
2020-08-04,9618.HK,246.1329345703125
2020-08-05,9618.HK,247.10964965820312
2020-08-06,9618.HK,248.0863800048828
2020-08-07,9618.HK,240.66331481933594
2020-08-10,9618.HK,234.80300903320312
2020-08-11,9618.HK,236.75643920898438
2020-08-12,9618.HK,235.3890380859375
2020-08-13,9618.HK,238.70986938476562
2020-08-14,9618.HK,237.3424835205078
2020-08-17,9618.HK,236.95179748535156
2020-08-18,9618.HK,259.41632080078125
2020-08-19,9618.HK,271.5276184082031
2020-08-20,9618.HK,273.2856750488281
2020-08-21,9618.HK,280.90411376953125
2020-08-24,9618.HK,292.0386962890625
2020-08-25,9618.HK,291.0619812011719
2020-08-26,9618.HK,308.4475402832031
2020-08-27,9618.HK,309.2289123535156
2020-08-28,9618.HK,301.2198181152344
2020-08-31,9618.HK,303.3686218261719
2020-09-01,9618.HK,302.001220703125
2020-09-02,9618.HK,324.2703857421875
2020-09-03,9618.HK,315.6752624511719
2020-09-04,9618.HK,300.6337890625
2020-09-07,9618.HK,298.68035888671875
2020-09-08,9618.HK,297.89898681640625
2020-09-09,9618.HK,288.71783447265625
2020-09-10,9618.HK,288.1318054199219
2020-09-11,9618.HK,288.1318054199219
2020-09-14,9618.HK,286.9597473144531
2020-09-15,9618.HK,294.7734680175781
2020-09-16,9618.HK,291.45263671875
2020-09-17,9618.HK,280.31805419921875
2020-09-18,9618.HK,285.0063171386719
2020-09-21,9618.HK,280.513427734375
2020-09-22,9618.HK,283.24822998046875
2020-09-23,9618.HK,285.59234619140625
2020-09-24,9618.HK,281.6854553222656
2020-09-25,9618.HK,275.62982177734375
