,ticker,adjclose
2014-09-30,ARKQ,18.486000061035156
2014-10-01,ARKQ,18.14649772644043
2014-10-02,ARKQ,18.26215171813965
2014-10-03,ARKQ,18.50465202331543
2014-10-06,ARKQ,18.38340187072754
2014-10-07,ARKQ,18.187538146972656
2014-10-08,ARKQ,18.243499755859375
2014-10-09,ARKQ,17.907730102539062
2014-10-10,ARKQ,17.413402557373047
2014-10-13,ARKQ,17.48801612854004
2014-10-14,ARKQ,17.407806396484375
2014-10-15,ARKQ,17.174631118774414
2014-10-16,ARKQ,17.739845275878906
2014-10-17,ARKQ,17.76875877380371
2014-10-20,ARKQ,17.86109161376953
2014-10-21,ARKQ,18.215518951416016
2014-10-22,ARKQ,18.000999450683594
2014-10-23,ARKQ,18.14090347290039
2014-10-24,ARKQ,18.094266891479492
2014-10-27,ARKQ,18.084941864013672
2014-10-28,ARKQ,18.577404022216797
2014-10-29,ARKQ,18.336769104003906
2014-10-30,ARKQ,18.22484588623047
2014-10-31,ARKQ,18.70984649658203
2014-11-03,ARKQ,18.635229110717773
2014-11-04,ARKQ,18.52517318725586
2014-11-05,ARKQ,18.392730712890625
2014-11-06,ARKQ,18.532636642456055
2014-11-07,ARKQ,18.40392303466797
2014-11-10,ARKQ,18.58859634399414
2014-11-11,ARKQ,18.728500366210938
2014-11-12,ARKQ,18.69585609436035
2014-11-13,ARKQ,18.73223114013672
2014-11-14,ARKQ,18.849750518798828
2014-11-17,ARKQ,18.85907745361328
2014-11-18,ARKQ,18.94301986694336
2014-11-19,ARKQ,18.775135040283203
2014-11-20,ARKQ,18.765810012817383
2014-11-21,ARKQ,18.94115447998047
2014-11-24,ARKQ,19.09038734436035
2014-11-25,ARKQ,19.08292579650879
2014-11-26,ARKQ,19.08292579650879
2014-11-28,ARKQ,19.06240463256836
2014-12-01,ARKQ,18.653884887695312
2014-12-02,ARKQ,18.674406051635742
2014-12-03,ARKQ,18.812440872192383
2014-12-04,ARKQ,18.79378890991211
2014-12-05,ARKQ,18.747156143188477
2014-12-08,ARKQ,18.700519561767578
2014-12-09,ARKQ,18.48320198059082
2014-12-10,ARKQ,18.486000061035156
2014-12-11,ARKQ,18.22484588623047
2014-12-12,ARKQ,18.22484588623047
2014-12-15,ARKQ,17.721189498901367
2014-12-16,ARKQ,17.581287384033203
2014-12-17,ARKQ,17.935710906982422
2014-12-18,ARKQ,18.215518951416016
2014-12-19,ARKQ,18.410451889038086
2014-12-22,ARKQ,18.486000061035156
2014-12-23,ARKQ,18.5699405670166
2014-12-24,ARKQ,18.551288604736328
2014-12-26,ARKQ,18.737825393676758
2014-12-29,ARKQ,18.635229110717773
2014-12-30,ARKQ,18.458953857421875
2014-12-31,ARKQ,18.51398277282715
2015-01-02,ARKQ,18.318113327026367
2015-01-05,ARKQ,17.795804977416992
2015-01-06,ARKQ,17.642845153808594
2015-01-07,ARKQ,17.654970169067383
2015-01-08,ARKQ,17.926382064819336
2015-01-09,ARKQ,17.767826080322266
2015-01-12,ARKQ,17.63724708557129
2015-01-13,ARKQ,17.525327682495117
2015-01-14,ARKQ,17.36676597595215
2015-01-15,ARKQ,17.226863861083984
2015-01-16,ARKQ,17.264169692993164
2015-01-20,ARKQ,17.389148712158203
2015-01-21,ARKQ,17.52345848083496
2015-01-22,ARKQ,17.879749298095703
2015-01-23,ARKQ,17.954364776611328
2015-01-26,ARKQ,18.0196533203125
2015-01-27,ARKQ,17.889074325561523
2015-01-28,ARKQ,17.655902862548828
2015-01-29,ARKQ,17.805131912231445
2015-01-30,ARKQ,17.77715301513672
2015-02-02,ARKQ,17.758501052856445
2015-02-03,ARKQ,17.706266403198242
2015-02-04,ARKQ,17.786479949951172
2015-02-05,ARKQ,18.025251388549805
2015-02-06,ARKQ,18.02151870727539
2015-02-09,ARKQ,18.07561492919922
2015-02-10,ARKQ,18.206192016601562
2015-02-11,ARKQ,18.34236717224121
2015-02-12,ARKQ,18.532636642456055
2015-02-13,ARKQ,18.756481170654297
2015-02-17,ARKQ,18.724769592285156
2015-02-18,ARKQ,18.68280029296875
2015-02-19,ARKQ,18.834827423095703
