,ticker,adjclose
2006-06-01,3988.HK,1.300233006477356
2006-06-02,3988.HK,1.338758111000061
2006-06-05,3988.HK,1.3676517009735107
2006-06-06,3988.HK,1.3772835731506348
2006-06-07,3988.HK,1.3580211400985718
2006-06-08,3988.HK,1.300233006477356
2006-06-09,3988.HK,1.300233006477356
2006-06-12,3988.HK,1.300233006477356
2006-06-13,3988.HK,1.2809700965881348
2006-06-14,3988.HK,1.2809700965881348
2006-06-15,3988.HK,1.300233006477356
2006-06-16,3988.HK,1.3194957971572876
2006-06-19,3988.HK,1.3098641633987427
2006-06-20,3988.HK,1.300233006477356
2006-06-21,3988.HK,1.3098641633987427
2006-06-22,3988.HK,1.3098641633987427
2006-06-23,3988.HK,1.3098641633987427
2006-06-26,3988.HK,1.3194957971572876
2006-06-27,3988.HK,1.3194957971572876
2006-06-28,3988.HK,1.3194957971572876
2006-06-29,3988.HK,1.3291269540786743
2006-06-30,3988.HK,1.3580211400985718
2006-07-03,3988.HK,1.396546483039856
2006-07-04,3988.HK,1.4158090353012085
2006-07-05,3988.HK,1.3676517009735107
2006-07-06,3988.HK,1.3772835731506348
2006-07-07,3988.HK,1.3772835731506348
2006-07-10,3988.HK,1.3772835731506348
2006-07-11,3988.HK,1.396546483039856
2006-07-12,3988.HK,1.396546483039856
2006-07-13,3988.HK,1.3580211400985718
2006-07-14,3988.HK,1.348389744758606
2006-07-17,3988.HK,1.338758111000061
2006-07-18,3988.HK,1.348389744758606
2006-07-19,3988.HK,1.348389744758606
2006-07-20,3988.HK,1.3580211400985718
2006-07-21,3988.HK,1.348389744758606
2006-07-24,3988.HK,1.3368319272994995
2006-07-25,3988.HK,1.3252742290496826
2006-07-26,3988.HK,1.3252742290496826
2006-07-27,3988.HK,1.3329793214797974
2006-07-28,3988.HK,1.3291269540786743
2006-07-31,3988.HK,1.3252742290496826
2006-08-01,3988.HK,1.3098641633987427
2006-08-02,3988.HK,1.30601167678833
2006-08-03,3988.HK,1.317569375038147
2006-08-04,3988.HK,1.3137166500091553
2006-08-07,3988.HK,1.3137166500091553
2006-08-08,3988.HK,1.317569375038147
2006-08-09,3988.HK,1.317569375038147
2006-08-10,3988.HK,1.317569375038147
2006-08-11,3988.HK,1.317569375038147
2006-08-14,3988.HK,1.317569375038147
2006-08-15,3988.HK,1.3291269540786743
2006-08-16,3988.HK,1.3329793214797974
2006-08-17,3988.HK,1.3252742290496826
2006-08-18,3988.HK,1.3214216232299805
2006-08-21,3988.HK,1.317569375038147
2006-08-22,3988.HK,1.3214216232299805
2006-08-23,3988.HK,1.3137166500091553
2006-08-24,3988.HK,1.3098641633987427
2006-08-25,3988.HK,1.302159070968628
2006-08-28,3988.HK,1.2906012535095215
2006-08-29,3988.HK,1.2944538593292236
2006-08-30,3988.HK,1.302159070968628
2006-08-31,3988.HK,1.302159070968628
2006-09-01,3988.HK,1.2944538593292236
2006-09-04,3988.HK,1.302159070968628
2006-09-05,3988.HK,1.302159070968628
2006-09-06,3988.HK,1.30601167678833
2006-09-07,3988.HK,1.30601167678833
2006-09-08,3988.HK,1.3098641633987427
2006-09-11,3988.HK,1.2983061075210571
2006-09-12,3988.HK,1.2944538593292236
2006-09-13,3988.HK,1.2944538593292236
2006-09-14,3988.HK,1.2906012535095215
2006-09-15,3988.HK,1.2944538593292236
2006-09-18,3988.HK,1.2906012535095215
2006-09-19,3988.HK,1.2906012535095215
2006-09-20,3988.HK,1.2906012535095215
2006-09-21,3988.HK,1.3098641633987427
2006-09-22,3988.HK,1.302159070968628
2006-09-25,3988.HK,1.2983061075210571
2006-09-26,3988.HK,1.2983061075210571
2006-09-27,3988.HK,1.2944538593292236
2006-09-28,3988.HK,1.2983061075210571
2006-09-29,3988.HK,1.2906012535095215
2006-10-03,3988.HK,1.2983061075210571
2006-10-04,3988.HK,1.3137166500091553
2006-10-05,3988.HK,1.3137166500091553
2006-10-06,3988.HK,1.30601167678833
2006-10-09,3988.HK,1.2983061075210571
2006-10-10,3988.HK,1.302159070968628
2006-10-11,3988.HK,1.2944538593292236
2006-10-12,3988.HK,1.3137166500091553
2006-10-13,3988.HK,1.317569375038147
2006-10-16,3988.HK,1.3137166500091553
2006-10-17,3988.HK,1.3137166500091553
2006-10-18,3988.HK,1.30601167678833
2006-10-19,3988.HK,1.30601167678833
2006-10-20,3988.HK,1.3137166500091553
2006-10-23,3988.HK,1.3137166500091553
2006-10-24,3988.HK,1.3137166500091553
2006-10-25,3988.HK,1.3098641633987427
